No.,Drug  Name,Active Ingredient,Date,FDA-approved use on approval date*
45.0,Zurampic,lesinurad,12/22/2015,To treat high blood uric acid levels associated with goutDrug Trials Snapshot
44.0,Uptravi,selexipag,12/21/2015,To treat pulmonary arterial hypertensionDrug Trials Snapshot
43.0,Bridion,sugammadex,12/15/2015,To reverse effects of neuromuscular blocking drugs used during surgeryDrug Trials Snapshot
42.0,Alecensa,alectinib,12/11/2015,To treat ALK-positive lung cancerDrug Trials Snapshot
41.0,Kanuma,sebelipase alfa,12/8/2015,To treat patients with a rare disease known as lysosomal acid lipase (LAL) deficiencyDrug Trials Snapshot
40.0,Empliciti,elotuzumab,11/30/2015,To treat people with multiple myeloma who have received one to three prior medicationsDrug Trials Snapshot
39.0,Portrazza,necitumumab,11/24/2015,To treat patients with advanced (metastatic) squamous non-small cell lung cancer (NSCLC) who have not previously received medication specifically for treating their advanced lung cancerDrug Trials Snapshot
38.0,Ninlaro,ixazomib,11/20/2015,To treat people with multiple myeloma who have received at least one prior therapyDrug Trials Snapshot
37.0,Darzalex,daratumumab,11/16/2015,To treat patients with multiple myeloma who have received at least three prior treatments.Drug Trials Snapshot
36.0,Tagrisso,osimertinib,11/13/2015,To treat certain patients with non-small cell lung cancerDrug Trials Snapshot
35.0,Cotellic,cobimetinib,11/10/2015,"To be used in combination with vemurafenib to treat advanced melanoma that has spread to other parts of the body or can’t be removed by surgery, and that has a certain type of abnormal gene (BRAF V600E or V600K mutation)Drug Trials Snapshot"
34.0,Genvoya,"a fixed-dose combination tablet containing elvitegravir, cobicistat, emtricitabine, and tenofovir alafenamide",11/5/2015,For use as a complete regimen for the treatment of HIV-1 infection in adults and pediatric patients 12 years of age and olderDrug Trials Snapshot
33.0,Nucala,mepolizumab,11/4/2015,For use with other asthma medicines for the maintenance treatment of asthma in patients age 12 years and older.Drug Trials Snapshot
32.0,Strensiq,asfotase alfa,10/23/2015,"To treat perinatal, infantile and juvenile-onset hypophosphatasia (HPP).Drug Trials Snapshot"
31.0,Yondelis,trabectedin,10/23/2015,To treat specific soft tissue sarcomas (STS) – liposarcoma and leiomyosarcoma – that cannot be removed by surgery (unresectable) or is advanced (metastatic). Drug Trials Snapshot
30.0,Veltassa,patiromer for oral suspension,10/21/2015,"To treat hyperkalemia, a serious condition in which the amount of potassium in the blood is too high.Drug Trials Snapshot"
