No.,Drug Name,Active Ingredient,Approval Date,FDA-approved use on approval date*
53.,Gemtesa,vibegron,12/23/2020,To treat overactive bladderDrug Trials Snapshot
52.,Ebanga,ansuvimab-zykl,12/21/2020,To treat ebolaDrug Trials Snapshot
ansuvimab-zykl,,,,
51.,Orgovyx,relugolix,12/18/2020,To treat advanced prostate cancerPress ReleaseDrug Trials Snapshot
50.,Margenza,margetuximab (anti-HER2 mAb,12/16/2020,To treat HER2+ breast cancerDrug Trials Snapshot
49.,Klisyri,tirbanibulin,12/14/2020,To treat actinic Keratosis of the face or scalpDrug Trials Snapshot
48,Orladeyo,berotralstat,12/3/2020,To treat patients with hereditary angioedemaDrug Trials Snapshot
47.,Gallium 68 PSMA-11,Gallium 68 PSMA-11,12/1/2020,For detection and localization of prostate cancerPress ReleaseDrug Trials Snapshot
46.,Danyelza,naxitamab-gqgk,11/25/2020,To treat high-risk refractory or relapsed neuroblastomaDrug Trials Snapshot
45.,Imcivree,setmelanotide,11/25/2020,"To treat obesity and the control of hunger associated with pro-opiomelanocortin deficiency, a rare disorder that causes severe obesity that begins at an early ageDrug Trials Snapshot"
44.,Oxlumo,lumasiran,11/23/2020,To treat hyperoxaluria type 1Press ReleaseDrug Trials Snapshot
43.,Zokinvy,lonafarnib,11/20/2020,To treat rare conditions related to premature agingPress ReleaseDrug Trials Snapshot
42.,Veklury,remdesivir,10/22/2020,To treat COVID-19Press ReleaseDrug Trials Snapshot
41.,Inmazeb,"atoltivimab, maftivimab, and odesivimab-ebgn",10/14/2020,To treat ebola virusPress ReleaseDrug Trials Snapshot
40.,Gavreto,pralsetinib,9/4/2020,To treat non-small lung cancerDrug Trials Snapshot
39.,Detectnet,copper Cu 64 dotatate injection,9/3/2020,To help detect certain types of neuroendocrine tumorsDrug Trials Snapshot
38.,Sogroya,somapacitan-beco,8/28/2020,Growth hormoneDrug Trials Snapshot
37.,Winlevi,clascoterone,8/26/2020,To treat acneDrug Trials Snapshot
36.,Enspryng,satralizumab-mwge,8/14/2020,To treat neuromyelitis optica spectrum disorderPress ReleaseDrug Trials Snapshot
35.,Viltepso,viltolarsen,8/12/2020,To treat Duchenne muscular dystrophyPress ReleaseDrug Trials Snapshot
34.,Olinvyk,oliceridine,8/7/2020,To manage acute pain in certain adultsPress ReleaseDrug Trials Snapshot
33.,Evrysdi,risdiplam,8/7/2020,To treat spinal muscular atrophyPress ReleaseDrug Trials Snapshot
32.,Lampit,nifurtimox,8/6/2020,To treat Chagas disease in certain pediatric patients younger than age 18Drug Trials Snapshot
31.,Blenrep,belantamab mafodotin-blmf,8/5/2020,To treat multiple myelomaDrug Trials Snapshot
30.,Monjuvi,tafasitamab-cxix,7/31/2020,To treat relapsed or refractory diffuse large B-cell lymphomaDrug Trials Snapshot
29.,Xeglyze,abametapir,7/24/2020,To treat head liceDrug Trials Snapshot
28.,Inqovi,decitabine and cedazuridine,7/7/2020,To treat adult patients with myelodysplastic syndromesDrug Trials Snapshot
27.,Rukobia,fostemsavir,7/2/2020,To treat HIVPress ReleaseDrug Trials Snapshot
26.,Byfavo,remimazolam,7/2/2020,For sedationDrug Trials Snapshot
25.,Dojolvi,triheptanoin,6/30/2020,To treat molecularly long-chain fatty acid oxidation disordersDrug Trials Snapshot
24.,Zepzelca,lurbinectedin,6/15/2020,To treat metastatic small cell lung cancerDrug Trials Snapshot
23,Uplizna,inebilizumab-cdon,6/11/2020,To treat neuromyelitis optica spectrum disorderPress ReleaseDrug Trials Snapshot
22.,Tauvid,flortaucipir F18,5/28/2020,Diagnostic agent for patients with Alzheimer’s diseasePress ReleaseDrug Trials Snapshot
21.,Artesunate,artesunate,5/26/2020,To treat severe malariaPress ReleaseDrug Trials Snapshot
20.,Cerianna,fluoroestradiol F18,5/20/2020,Diagnostic imaging agent for certain patients with breast cancerDrug Trials Snapshot
19.,Qinlock,ripretinib,5/15/2020,To treat advanced gastrointestinal-stromal tumorsPress ReleaseDrug Trials Snapshot
18.,Retevmo,selpercatinib,5/8/2020,To treat lung and thyroid cancersPress ReleaseDrug Trials Snapshot
17.,Tabrecta,capmatinib,5/6/2020,To treat patients with non small cell lung cancerPress ReleaseDrug Trials Snapshot
16.,Ongentys,opicapone,4/24/2020,To treat patients with Parkinson’s disease experiencing “off” episodesDrug Trials Snapshot
15.,Trodelvy,sacituzumab govitecan-hziy,4/22/2020,To treat adult patients with metastatic triple-negative breast cancer who received at least two prior therapies for metastatic diseasePress ReleaseDrug Trials Snapshot
14.,Pemazyre,pemigatinib,4/17/2020,"To treat certain patients with cholangiocarcinoma, a rare form of cancer that forms in bile ductsPress ReleaseDrug Trials Snapshot"
13.,Tukysa,tucatinib,4/17/2020,To treat advanced unresectable or metastatic HER2-positive breast cancerDrug Trials Snapshot
12.,Koselugo,selumetinib,4/10/2020,"To treat neurofibromatosis type 1, a genetic disorder of the nervous system causing tumors to grow on nervesDrug Trials Snapshot"
11.,Zeposia,ozanimod,3/25/2020,To treat relapsing forms of multiple sclerosisDrug Trials Snapshot
10.,Isturisa,osilodrostat,3/6/2020,To treat adults with Cushing’s disease who either cannot undergo pituitary gland surgery or have undergone the surgery but still have the diseasePress ReleaseDrug Trials Snapshot
9.,Sarclisa,isatuximab,3/2/2020,To treat multiple mylomaPress ReleaseDrug Trials Snapshot
8.,Nurtec ODT,rimegepant,2/27/2020,To treat migraineDrug Trials Snapshot
7.,Barhemsys,amisulpride,2/26/2020,To help prevent nausea and vomiting after surgeryDrug Trial Snapshot
6.,Vyepti,eptinezumab-jjmr,2/21/2020,For the preventive treatment of migraine in adultsDrug Trials Snapshot
